represent
featur
set
point
question
concern
intern
climat chang
exist
empir
cultur
need
transport
size
variou
author
influenc
particip
current
all right
emerg
sustain
includ
limit
paramet
futur
evid
variat
tool
object
distanc
particular
right
physic
addit
term
ident
specif
organ
possibl
servic
properti
technolog
growth
survey
context
action
industri
polit
similar
