classif
show
predict
knowledg
qualiti
site
cost
design
theoret
energi
simul
select
subject
case studi
statu
locat
zone
innov
particip
due
same
state
estim
decis
test
sens
vulner
adapt
firm
be
diseas
form
food
peopl
tool
surfac
framework
temperatur
user
institut
rang
valu
ident
veget
ecosystem
age
flow
literatur
tempor
river
