process
natur
emiss
signific
paper
design
result
human
differ
variabl
use
co2
develop
network
zone
commun
pattern
activ
system
environment
citi
other
health
factor
anthropogen
new
approach
refer
analysi
model
gener
spatial
effect
water
scale
such
data
studi
popul
level
veget
ecosystem
region
area
space
environ
behavior
social
chang
manag
