featur
evalu
point
qualiti
direct
indic
cluster
intern
set
exist
connect
right
cultur
event
market
paramet
current
author
influenc
support
question
find
implic
all right
sustain
includ
limit
tool
polit
life
resourc
behavior
evid
methodolog
distanc
govern
world
avail
account
specif
servic
properti
simul
issu
place
context
higher
observ
transport
mean
