function
climat
speci
coliform
household
qualiti
drive
biolog
paper
sampl
result
respons
total
variabl
use
settlement
develop
network
influenc
pattern
interact
system
research
environment
decis
natur
import
type
analysi
model
distribut
spatial
differ
water
theori
new
such
data
studi
case
school
level
signific
inform
environ
time
social
design
chang
manag
