consider
consum
social network
geographi
aspect
accuraci
web
littl
spatial pattern
program
random
tourist
overal
mechan
discuss
requir
collect
common
team
movement
view
societi
procedur
biolog
climat chang
energi
compar
innov
review
refer
altern
accord
diseas
case studi
situat
reason
china
article
strong
basi
urbain
last
materi
espace
action
improv
effici
modle
prefer
coastal
opportun
select
construct
live
interest
household
minor
firm
capit
ltd. all right
season
regard
examin
effort
conclus
women
ident
provid
focu
histori
record
elsevi ltd. all right
seri
abstract
modern
elsevi b.v. all right
contribut
suggest
make
economi
simpl
singl
european
optim
price
southern
hazard
attent
class
averag
tradit
lower
domin
rule
notion
person
exampl
traffic
land use
travel
