major
abund
cancer
speci
natur
individu
rule-bas aggreg
rate
sampl
aggreg
mortal
chang
energi
use
scale
develop
network
area
pattern
system
landscap
research
cell
citi
other
spatial
test
new
experi
type
method
analysi
urban
social
differ
effect
dexter
adult
import
such
data
studi
measur
level
age
time
model
mean
region
result
