represent
climat
urban
process
soil
emiss
site
group
paper
result
potenti model
chang
differ
locat
use
develop
network
area
speci
system
landscap
research
environment
other
decis
spatial
new
approach
method
higher
analysi
applic
product
farmer
effect
ecolog
such
data
model
level
ecosystem
region
commun
inform
potenti
time
small
studi
order
social
