model
climat
speci
process
natur
number
biolog
paper
result
factor
complex
variabl
differ
scale
develop
network
area
system
landscap
research
other
health
spatial
new
approach
method
analysi
urban
gener
time
use
effect
theori
applic
import
such
data
studi
popul
level
region
commun
geograph
structur
inform
environ
potenti
social
chang
manag
