concept
speci
process
problem
app
year
number
paper
result
such
impact
use
develop
relationship
commun
heterogen
pattern
system
landscap
research
access
health
decis
spatial
new
approach
method
analysi
map
pain
fish
criteria
differ
usabl
import
studi
data
model
measur
ident
coral
tree
structur
manag
inform
time
chang
river
similar
adolesc
