distanc
process
problem
global
emiss
product
geographi
anthropogen co2
paper
result
use
co2
develop
network
area
perform
medic
system
other
complex
spatial
anthropogen
import
experi
approach
analysi
plant
contribut
sorr
may
social
differ
effect
theori
new
natur
such
data
model
j.m
studi
region
commun
ocean
number
estim
time
chang
manag
j.m may
