ID,Mobility and transportation,Imagery and GIS,Climate and environment,History and epistemology,Sustainability risk planning,Economic geography,Development territory system of cities,Urban dynamics,Statistics and modeling,Emotional geography
1836,0,0,0,0.125,0.125,0,0.25,0.25,0,0.25
3925,1,0,0,0,0,0,0,0,0,0
1866,0.5,0,0,0,0,0,0,0.25,0.25,0
2519,0,0,0,0.2,0,0,0.4,0.4,0,0
4233,0,0.6,0,0,0.2,0,0,0,0.2,0
3670,0,0.2,0,0,0,0,0.2,0,0.4,0.2
3669,0,0,0,0,0,0.1666666667,0,0.3333333333,0.5,0
3747,0,0.4,0.2,0.2,0,0.2,0,0,0,0
1931,0,0,0,0.1666666667,0,0,0.1666666667,0.5,0.1666666667,0
4252,0,0.4,0,0,0.6,0,0,0,0,0
5355,0.25,0.25,0,0,0.5,0,0,0,0,0
3851,0,0,0,0,0,0,0.25,0.75,0,0
4188,0,0.3333333333,0,0,0,0,0,0.1666666667,0.5,0
1965,0,0.2,0,0.2,0.4,0,0,0.2,0,0
1979,0.0666666667,0.0666666667,0,0.0666666667,0.2,0,0.0666666667,0.4666666667,0,0.0666666667
3721,0,0,0,0,0,0,0.5,0,0.5,0
3772,0,0.5,0,0,0.5,0,0,0,0,0
3722,0.2,0.4,0,0,0,0,0,0,0.4,0
3733,0,0,0,0,0,0,0,0,0.8,0.2
3742,0,0,0,0,0,0,0,0,1,0
2048,0,0.8333333333,0,0,0.1666666667,0,0,0,0,0
2063,0,0.8,0,0,0,0,0,0,0.2,0
3755,0,0.6666666667,0.1666666667,0,0.1666666667,0,0,0,0,0
3790,0,0,0,0,0,0,0,0.75,0.25,0
2154,0,0,0,0.6666666667,0,0,0.3333333333,0,0,0
2171,0.1666666667,0,0,0,0.3333333333,0.1666666667,0.1666666667,0,0.1666666667,0
3795,0,0.4444444444,0.2222222222,0,0,0,0,0,0.3333333333,0
3812,0,0.6666666667,0,0,0,0,0.3333333333,0,0,0
3815,0.125,0,0,0.25,0,0.125,0.375,0,0,0.125
2189,1,0,0,0,0,0,0,0,0,0
6050,0,0,0.3333333333,0,0.3333333333,0,0,0,0,0.3333333333
2199,0.6666666667,0,0,0,0,0,0,0,0.3333333333,0
3827,0,0,0,0.3333333333,0,0,0,0,0.6666666667,0
3835,0,0,0,0,0,0,0,0,1,0
3901,0,0,0,0.4,0,0,0.6,0,0,0
14253,0.125,0,0,0.875,0,0,0,0,0,0
24903,0,0.1666666667,0,0.8333333333,0,0,0,0,0,0
2440,0,0,0,0.6,0,0,0,0.4,0,0
25547,0,0,0,0.6,0,0,0,0.4,0,0
2235,0,0.5,0,0,0,0,0,0.25,0.25,0
24688,0,1,0,0,0,0,0,0,0,0
24747,0,0,0,0.1428571429,0,0,0,0,0,0.8571428571
2242,0,0.2,0,0,0,0,0,0,0.8,0
2255,0,0.3,0.2,0,0.1,0,0,0,0.4,0
4437,0,0.125,0,0.375,0.125,0,0,0.25,0.125,0
2289,0.2,0,0,0,0,0,0,0,0.8,0
3935,0,0,0,0,0,0,0.5,0,0.5,0
4167,0,0.75,0,0,0,0,0,0,0.25,0
4110,0.3333333333,0,0,0,0,0,0.3333333333,0,0.3333333333,0
4118,0.6666666667,0,0,0,0,0,0,0,0.3333333333,0
4343,0,0.3333333333,0,0,0,0,0,0,0.6666666667,0
2329,0,0,0,0,0.1666666667,0,0.1666666667,0,0.6666666667,0
3976,0,0,0,0.2,0.2,0,0,0,0.6,0
3977,0,0.75,0,0.25,0,0,0,0,0,0
3989,0,0,0,0.5,0.125,0,0,0.25,0,0.125
4004,0,0,0,1,0,0,0,0,0,0
4011,0.3333333333,0,0,0,0.3333333333,0,0,0,0.3333333333,0
4019,0,1,0,0,0,0,0,0,0,0
3944,0,0.3333333333,0,0.5,0,0,0.1666666667,0,0,0
3961,0,0,0,0.5,0.25,0,0.25,0,0,0
2871,0,0.3333333333,0,0,0,0,0,0.6666666667,0,0
