"","CNTR_ID","SHAPE_AREA","SHAPE_LEN","polygonID"
"0","AD",0.05113435125,1.04459019283,1
"1","AE",6.32022049533,23.1041312092,2
"2","AF",62.5130929462,52.7314269712,3
"3","AG",0.03733909485,1.45979196926,4
"4","AI",0.00651422417,0.5641165803,5
"5","AL",3.05409304509,10.9988515569,6
"6","AM",3.14251031288,13.4548671126,7
"7","AN",0.06338740752,2.5832533982,8
"8","AO",103.797786405,62.0224245935,9
"9","AQ",6077.83236119,1633.10261495,10
"10","AR",278.294429776,148.811910834,11
"11","AS",0.01889019531,1.21681985555,12
"12","AT",10.0282544603,24.8597443577,13
"13","AU",695.605700993,376.277558036,14
"14","AW",0.01512653649,0.62668399608,15
"15","AZ",9.18575578238,28.1519962764,16
"16","BA",5.75606435861,14.4402930186,17
"17","BB",0.03498631774,0.78703252531,18
"18","BD",12.3069315757,57.8052945234,19
"19","BE",3.89694961863,14.0056447046,20
"20","BF",22.7128377887,29.4028164602,21
"21","BG",12.2090423365,21.3721007666,22
"22","BH",0.06069200273,2.27189565191,23
"23","BI",2.19303412499,8.02727032156,24
"24","BJ",9.52814171842,17.8141250551,25
"25","BM",0.00613892637,0.82264748389,26
"26","BN",0.47699054732,5.15667543045,27
"27","BO",92.0129098223,54.2509048405,28
"28","BR",708.051543782,256.847644414,29
"29","BS",1.16652949247,42.8809450197,30
"30","BT",3.44347651984,9.98909973713,31
"31","BV",0.00551731305,0.33742697205,32
"32","BW",50.6546525271,34.9413292902,33
"33","BY",28.166999283,35.6335566865,34
"34","BZ",1.88182210855,10.9413412721,35
"35","CA",1687.11837745,3067.85366367,36
"36","CC",0.00052075986,0.33889918449,37
"37","CD",189.935711774,87.0320354788,38
"38","CF",50.7377377642,44.3191292614,39
"39","CG",27.7804307257,39.1903334815,40
"40","CH",4.86628509729,17.455046435,41
"41","CI",26.3909847643,29.4396197077,42
"42","CK",0.01772794008,2.12916888241,43
"43","CL",78.8411633863,541.026158068,44
"44","CM",38.1024279476,43.592023481,45
"45","CN",951.397942716,375.539120265,46
"46","CO",92.8069855728,76.2849070766,47
"47","CP",0.00028195148,0.08819233052,48
"48","CR",4.23746789061,17.5729607647,49
"49","CU",9.68972399303,58.5639369393,50
"50","CV",0.34328592731,7.6645561234,51
"51","CX",0.01128690388,0.54529971241,52
"52","CY",0.9188543138,6.32635296647,53
"53","CZ",9.84241765052,20.8215801576,54
"54","DE",45.9463067485,67.6336957567,55
"55","DJ",1.79663079166,7.48050323645,56
"56","DK",6.20084279835,61.5853373397,57
"57","DM",0.06404926111,1.09435345423,58
"58","DO",4.13111035436,14.4807366304,59
"59","DZ",213.479728477,71.8167617505,60
"60","EC",20.8254174152,40.856091234,61
"61","EE",7.02136110654,29.3204170691,62
"62","EG",88.9735862073,59.0083653903,63
"63","EH",23.9759570396,28.9918126461,64
"64","EL",13.7696033192,109.400349364,65
"65","ER",10.126716102,32.8882212776,66
"66","ES",53.5955894821,68.2012190702,67
"67","ET",92.8608082281,47.7765876167,68
"68","FI",62.9984025682,119.59178605,69
"69","FJ",1.56774071318,24.6958508436,70
"70","FK",1.56566617354,39.6793655367,71
"71","FM",0.0578094989,2.97885095175,72
"72","FO",0.23969151536,11.1939386896,73
"73","GA",21.5090031413,28.8891530668,74
"74","GD",0.02630961488,0.77563757435,75
"75","GE",7.60368117757,19.0028089927,76
"76","GG",0.00893184101,0.67748826805,77
"77","GH",19.5958451296,22.951065369,78
"78","GI",0.0006135345,0.1139438803,79
"79","GL",664.672565131,1304.50464181,80
"80","GM",0.89742612612,9.8905444182,81
"81","GN",20.2172978273,35.7924127266,82
"82","GQ",2.19014031617,8.44206757864,83
"83","GS",0.54233738007,12.4376509463,84
"84","GT",9.20507101054,17.2377672812,85
"85","GU",0.045378683,1.18148506603,86
"86","GW",2.83379838404,22.0803271984,87
"87","GY",17.1380401122,28.7251451667,88
"88","HK",0.09681041436,3.82804677819,89
"89","HM",0.05028507482,1.42307306966,90
"90","HN",9.48663908875,21.4433959838,91
"91","HR",6.45276492226,54.8541433446,92
"92","HT",2.31203657059,16.1586888648,93
"93","HU",11.0363689725,20.1573614497,94
"94","ID",153.598301783,577.557501817,95
"95","IE",9.40460290667,47.3637660527,96
"96","IL",1.97077448149,11.0499927107,97
"97","IM",0.07897820421,1.38218794198,98
"98","IN",262.102907714,186.122001151,99
"99","IO",0.00311994999,0.99900715041,100
"100","IQ",42.1181490754,34.8322871697,101
"101","IR",155.844446782,79.7480431672,102
"102","IS",19.5083572725,74.0250788393,103
"103","IT",33.1560400679,78.938941141,104
"104","JE",0.01479362242,0.61518477913,105
"105","JM",0.94255502818,5.75405418686,106
"106","JO",8.42618594258,16.3069527027,107
"107","JP",38.2115643304,165.86638593,108
"108","KE",47.2864823416,37.4835175589,109
"109","KG",21.4716472865,41.3958869776,110
"110","KH",15.1035677979,24.1960103161,111
"111","KI",0.07310109056,10.1992894935,112
"112","KM",0.13587465024,3.10502908782,113
"113","KN",0.02175142545,0.9899974529,114
"114","KP",12.949243368,34.6166794075,115
"115","KR",9.95880677575,56.7540972943,116
"116","KW",1.60376994934,8.90998023713,117
"117","KY",0.02318506007,1.67240412612,118
"118","KZ",328.175957928,171.795867942,119
"119","LA",19.6946319098,40.6926660571,120
"120","LB",0.98917800336,5.99340956662,121
"121","LC",0.05047554151,0.95410765809,122
"122","LI",0.01940845858,0.65526712799,123
"123","LK",5.42530329436,14.9642430148,124
"124","LR",7.85374138573,16.5424538933,125
"125","LS",2.8337336286,7.5969790882,126
"126","LT",9.19029921491,18.8045163862,127
"127","LU",0.325272012,2.93248079005,128
"128","LV",9.51325395401,20.7381179546,129
"129","LY",147.322560291,58.0085174046,130
"130","MA",38.7325881124,37.3169715766,131
"131","MC",0.00013050123,0.07191275676,132
"132","MD",4.03385004948,15.8066431618,133
"133","ME",1.52426087943,8.20829389173,134
"134","MG",50.9822787031,51.5000535414,135
"135","MH",0.00786668966,3.76581699044,136
"136","MK",2.74023541364,7.7431871227,137
"137","ML",106.619193948,66.2605558366,138
"138","MM",58.1159184704,135.321919893,139
"139","MN",184.745818824,87.3735975767,140
"140","MO",0.00109832281,0.26732215737,141
"141","MP",0.03856803899,2.42865172256,142
"142","MR",89.8726921086,55.014685621,143
"143","MS",0.0084161736,0.37076048944,144
"144","MT",0.0312050505,1.13075902666,145
"145","MU",0.17599813279,2.51215379148,146
"146","MV",0.00341584069,1.15893231024,147
"147","MW",9.85127407053,24.3602057771,148
"148","MX",174.230143131,163.697367004,149
"149","MY",26.8438005005,72.9346271329,150
"150","MZ",67.0566871028,76.2745215937,151
"151","NA",72.2944775489,49.7882970119,152
"152","NC",1.65046197718,18.0161042218,153
"153","NE",100.758944067,51.2323159586,154
"154","NF",0.00267935843,0.21532048463,155
"155","NG",74.961186314,43.054319333,156
"156","NI",10.7417085435,17.9400320541,157
"157","NL",4.9199287991,22.857875117,158
"158","NO",60.5732408673,451.574312479,159
"159","NP",13.5468761901,25.851378962,160
"160","NR",0.00062797962,0.12497116362,161
"161","NU",0.02164226501,0.56095573825,162
"162","NZ",29.3960669782,96.8661610678,163
"163","OM",26.6974452864,34.3858141605,164
"164","PA",6.15859160889,33.323979109,165
"165","PE",106.555302722,73.2594118893,166
"166","PF",0.29638184185,24.6924945248,167
"167","PG",37.7636124102,126.378880378,168
"168","PH",24.5039403885,182.902616898,169
"169","PK",73.9544769434,75.8574684791,170
"170","PL",40.9443343479,39.4212791814,171
"171","PM",0.02671912484,1.47259275199,172
"172","PN",0.00404669888,0.33522246301,173
"173","PR",0.77072665706,5.64902135014,174
"174","PS",0.59750323573,4.89270079043,175
"175","PT",9.65370792297,29.5998772012,176
"176","PW",0.03489368173,2.0798049755,177
"177","PY",35.2825257661,32.7741014996,178
"178","QA",1.01390802599,5.98887081466,179
"179","RO",27.6052048561,29.632850251,180
"180","RS",9.93301295194,21.7992750031,181
"181","RU",2924.14137636,1810.70831872,182
"182","RW",2.04519006583,7.36470450241,183
"183","SA",171.390258818,86.065689197,184
"184","SB",2.33456136247,46.2864351958,185
"185","SC",0.03141234914,3.54110478005,186
