"","Authoring","Studied","N","c1","X_A","Y_A","c2","X_S","Y_S"
"195.107","SN","JP",1,"SN",-14.470521050941,14.3535555961191,"JP",137.99675676164,36.6636784839647
"219.107","UK","JP",1,"UK",-2.49101280471062,53.927081866194,"JP",137.99675676164,36.6636784839647
"252.107","FR","JP",4,"FR",2.46155981462731,46.6177606162003,"JP",137.99675676164,36.6636784839647
"20.108","BE","KE",1,"BE",4.67174670598386,50.638844213958,"KE",37.8437376031149,0.532338516057215
"252.108","FR","KE",1,"FR",2.46155981462731,46.6177606162003,"KE",37.8437376031149,0.532338516057215
"252.109","FR","KG",1,"FR",2.46155981462731,46.6177606162003,"KG",74.5662555464296,41.4664605011685
"252.110","FR","KH",1,"FR",2.46155981462731,46.6177606162003,"KH",104.930785942019,12.7138180954115
"252.118","FR","KZ",1,"FR",2.46155981462731,46.6177606162003,"KZ",67.3107660682629,48.174111122102
"252.119","FR","LA",1,"FR",2.46155981462731,46.6177606162003,"LA",103.769254912572,18.4907501648725
"252.120","FR","LB",2,"FR",2.46155981462731,46.6177606162003,"LB",35.8798665276684,33.9208268120446
"252.122","FR","LI",1,"FR",2.46155981462731,46.6177606162003,"LI",9.55013042921889,47.1364398601306
"20.123","BE","LK",1,"BE",4.67174670598386,50.638844213958,"LK",80.6952353198043,7.65967611997836
"41.123","CH","LK",1,"CH",8.21011553875218,46.7903177203335,"LK",80.6952353198043,7.65967611997836
"219.123","UK","LK",1,"UK",-2.49101280471062,53.927081866194,"LK",80.6952353198043,7.65967611997836
"252.123","FR","LK",1,"FR",2.46155981462731,46.6177606162003,"LK",80.6952353198043,7.65967611997836
"252.124","FR","LR",2,"FR",2.46155981462731,46.6177606162003,"LR",-9.30990728121233,6.46551712276738
"252.125","FR","LS",1,"FR",2.46155981462731,46.6177606162003,"LS",28.2411991129793,-29.5768088341266
"36.126","CA","LT",1,"CA",-102.515470389785,58.0403749386076,"LT",23.9183838046501,55.3338355253859
"41.126","CH","LT",2,"CH",8.21011553875218,46.7903177203335,"LT",23.9183838046501,55.3338355253859
"252.126","FR","LT",9,"FR",2.46155981462731,46.6177606162003,"LT",23.9183838046501,55.3338355253859
"55.127","DE","LU",1,"DE",10.3928249975919,51.0799046830685,"LU",6.10943333054036,49.7823577636279
"252.127","FR","LU",7,"FR",2.46155981462731,46.6177606162003,"LU",6.10943333054036,49.7823577636279
"36.128","CA","LV",1,"CA",-102.515470389785,58.0403749386076,"LV",24.918252227401,56.8534583968299
"41.128","CH","LV",1,"CH",8.21011553875218,46.7903177203335,"LV",24.918252227401,56.8534583968299
"252.128","FR","LV",9,"FR",2.46155981462731,46.6177606162003,"LV",24.918252227401,56.8534583968299
"41.130","CH","MA",2,"CH",8.21011553875218,46.7903177203335,"MA",-6.29841378329606,31.8893455522347
"67.130","ES","MA",2,"ES",-3.5535195957135,40.3911571272071,"MA",-6.29841378329606,31.8893455522347
"211.130","TN","MA",1,"TN",9.58109276662665,34.1230139285085,"MA",-6.29841378329606,31.8893455522347
"219.130","UK","MA",1,"UK",-2.49101280471062,53.927081866194,"MA",-6.29841378329606,31.8893455522347
"252.130","FR","MA",6,"FR",2.46155981462731,46.6177606162003,"MA",-6.29841378329606,31.8893455522347
"36.131","CA","MC",1,"CA",-102.515470389785,58.0403749386076,"MC",7.42275000000001,43.7364425
"36.132","CA","MD",1,"CA",-102.515470389785,58.0403749386076,"MD",28.447016112878,47.2177450500298
"41.132","CH","MD",1,"CH",8.21011553875218,46.7903177203335,"MD",28.447016112878,47.2177450500298
"252.132","FR","MD",1,"FR",2.46155981462731,46.6177606162003,"MD",28.447016112878,47.2177450500298
"41.133","CH","ME",1,"CH",8.21011553875218,46.7903177203335,"ME",19.2385244534029,42.803422356602
"252.133","FR","ME",2,"FR",2.46155981462731,46.6177606162003,"ME",19.2385244534029,42.803422356602
"252.134","FR","MG",6,"FR",2.46155981462731,46.6177606162003,"MG",46.7100891863645,-19.3916740583864
"36.136","CA","MK",1,"CA",-102.515470389785,58.0403749386076,"MK",21.7195980638587,41.5923450720844
"41.136","CH","MK",1,"CH",8.21011553875218,46.7903177203335,"MK",21.7195980638587,41.5923450720844
"219.136","UK","MK",1,"UK",-2.49101280471062,53.927081866194,"MK",21.7195980638587,41.5923450720844
"252.136","FR","MK",4,"FR",2.46155981462731,46.6177606162003,"MK",21.7195980638587,41.5923450720844
"252.137","FR","ML",3,"FR",2.46155981462731,46.6177606162003,"ML",-3.52744717061104,17.3511309524483
"20.138","BE","MM",1,"BE",4.67174670598386,50.638844213958,"MM",96.5239435606647,21.2227680089993
"252.138","FR","MM",1,"FR",2.46155981462731,46.6177606162003,"MM",96.5239435606647,21.2227680089993
"252.140","FR","MO",2,"FR",2.46155981462731,46.6177606162003,"MO",113.547399212075,22.1994376051003
"252.142","FR","MR",3,"FR",2.46155981462731,46.6177606162003,"MR",-10.326330067574,20.2634090937308
"36.144","CA","MT",1,"CA",-102.515470389785,58.0403749386076,"MT",14.4452887981809,35.8975666717
"252.144","FR","MT",2,"FR",2.46155981462731,46.6177606162003,"MT",14.4452887981809,35.8975666717
"252.145","FR","MU",3,"FR",2.46155981462731,46.6177606162003,"MU",57.5820423176209,-20.2890479373086
"20.146","BE","MV",1,"BE",4.67174670598386,50.638844213958,"MV",73.0948842366667,-0.607240994666654
"252.146","FR","MV",1,"FR",2.46155981462731,46.6177606162003,"MV",73.0948842366667,-0.607240994666654
"252.147","FR","MW",1,"FR",2.46155981462731,46.6177606162003,"MW",34.274867265744,-13.194984378605
"221.148","US","MX",1,"US",-99.4425594967709,39.3961009899639,"MX",-102.51454773385,23.9336005495849
"252.148","FR","MX",4,"FR",2.46155981462731,46.6177606162003,"MX",-102.51454773385,23.9336005495849
"20.149","BE","MY",1,"BE",4.67174670598386,50.638844213958,"MY",114.70465523944,3.60287230872689
"36.149","CA","MY",1,"CA",-102.515470389785,58.0403749386076,"MY",114.70465523944,3.60287230872689
"41.149","CH","MY",1,"CH",8.21011553875218,46.7903177203335,"MY",114.70465523944,3.60287230872689
"219.149","UK","MY",1,"UK",-2.49101280471062,53.927081866194,"MY",114.70465523944,3.60287230872689
"252.149","FR","MY",1,"FR",2.46155981462731,46.6177606162003,"MY",114.70465523944,3.60287230872689
"252.150","FR","MZ",2,"FR",2.46155981462731,46.6177606162003,"MZ",35.5360947830716,-17.2699347190328
"20.153","BE","NE",2,"BE",4.67174670598386,50.638844213958,"NE",9.40529221283964,17.4166335015155
"25.153","BJ","NE",1,"BJ",2.34147686056154,9.63526551271956,"NE",9.40529221283964,17.4166335015155
"149.153","MX","NE",1,"MX",-102.51454773385,23.9336005495849,"NE",9.40529221283964,17.4166335015155
"252.153","FR","NE",4,"FR",2.46155981462731,46.6177606162003,"NE",9.40529221283964,17.4166335015155
"252.155","FR","NG",3,"FR",2.46155981462731,46.6177606162003,"NG",8.09210583766326,9.58940097319253
"20.157","BE","NL",1,"BE",4.67174670598386,50.638844213958,"NL",5.63652078392282,52.2720777321218
"36.157","CA","NL",2,"CA",-102.515470389785,58.0403749386076,"NL",5.63652078392282,52.2720777321218
"41.157","CH","NL",1,"CH",8.21011553875218,46.7903177203335,"NL",5.63652078392282,52.2720777321218
"182.157","RU","NL",1,"RU",99.1595613921392,61.6595873942864,"NL",5.63652078392282,52.2720777321218
"219.157","UK","NL",1,"UK",-2.49101280471062,53.927081866194,"NL",5.63652078392282,52.2720777321218
"252.157","FR","NL",19,"FR",2.46155981462731,46.6177606162003,"NL",5.63652078392282,52.2720777321218
"36.158","CA","NO",1,"CA",-102.515470389785,58.0403749386076,"NO",14.0456175437801,64.246082695081
"219.158","UK","NO",1,"UK",-2.49101280471062,53.927081866194,"NO",14.0456175437801,64.246082695081
"252.158","FR","NO",8,"FR",2.46155981462731,46.6177606162003,"NO",14.0456175437801,64.246082695081
"252.159","FR","NP",1,"FR",2.46155981462731,46.6177606162003,"NP",83.9237304980442,28.2619496097183
"219.165","UK","PE",1,"UK",-2.49101280471062,53.927081866194,"PE",-74.3618063528006,-9.17713832680157
"221.165","US","PE",1,"US",-99.4425594967709,39.3961009899639,"PE",-74.3618063528006,-9.17713832680157
